run,name,wandb_id,leg,step,tokens,metric,value
en-ar__unigram_destarved__100b-v9,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v9,,28149,26760609271.948826,eval/flores_en_bpb,1.1588402763596497
en-ar__unigram_destarved__100b-v9,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v9,,28149,26760609271.948826,eval/holdout_ar_bpb,0.7225416161437079
en-ar__unigram_destarved__100b-v9,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v9,,28149,26760609271.948826,eval/holdout_en_bpb,0.9654558673786595
en-ar__unigram_destarved__100b-v9,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v9,,28658,27244503908.327454,eval/flores_ar_bpb,0.864561089034296
en-ar__unigram_destarved__100b-v9,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v9,,28658,27244503908.327454,eval/flores_en_bpb,1.1894567028528242
en-ar__unigram_destarved__100b-v9,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v9,,28658,27244503908.327454,eval/holdout_ar_bpb,0.7270978728103611
en-ar__unigram_destarved__100b-v9,en-ar__unigram_destarved__100b,en-ar__unigram_destarved__100b-v9,,28658,27244503908.327454,eval/holdout_en_bpb,0.9938341528953812
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,239,250609664.0,eval/flores_ar_bpb,1.2998082794744483
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,239,250609664.0,eval/flores_en_bpb,1.8160245384194007
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,239,250609664.0,eval/holdout_ar_bpb,1.2648200308794673
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,239,250609664.0,eval/holdout_en_bpb,1.6783445445861003
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,478,501219328.0,eval/flores_ar_bpb,1.0882989339775087
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,478,501219328.0,eval/flores_en_bpb,1.535805607416977
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,478,501219328.0,eval/holdout_ar_bpb,1.0545004266254818
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,478,501219328.0,eval/holdout_en_bpb,1.396226030803956
en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,en-ar__unigram_destarved__100b_scratch,,717,751828992.0,eval/flores_ar_bpb,1.0415864530996695
